Guilherme Ottoni
Sandro Rigo
Guido Araujo
Subramanian Rajagopalan
Sharad Malik
Yuan Lin
David A Padua
Mikael Pettersson
Hanspeter Mssenbck
Michael Pfeiffer
Mark van den Brand
Jeroen Scheerder
Jurgen J Vinju
Eelco Visser
Gagan Agrawal
Jinqian Li
Qi Su
Matthias Anlauff
Philipp W Kutter
Alfonso Pierantonio
Kai Koskimies
Kazunori Mizushima
Takuya Katayama
Henk Alblas
Joos SchaapKrueseman
Pramod G Joisha
Prithviraj Banerjee
Hanne Riis Nielson
Flemming Nielson
Andrea G M Cilio
Henk Corporaal
John Aycock
R Nigel Horspool
Cdric Bastoul
Paul Feautrier
Neil D Jones
David A Schmidt
David Lacey
Oege de Moor
Marjan Mernik
Mitja Lenic
Enis Avdicausevic
Viljem Zumer
Lars Viklund
Johan Herber
Peter Fritzson
Thi Viet Nga Nguyen
Franois Irigoin
Corinne Ancourt
Fabien Coelho
Gagan Agrawal
Matthijs F Kuiper
Joo Saraiva
Clark Verbrugge
Phong Co
Laurie J Hendren
Daniel Kstner
Marc Langenbach
David Oren
Yossi Matias
Shmuel Sagiv
Youfeng Wu
Mauricio J Serrano
Rakesh Krishnaiyer
Wei Li
Jesse Fang
M Anton Ertl
Andreas Krall
Albert Nymeyer
JoostPieter Katoen
Ymte Westra
Henk Alblas
Christian Andersson
Dominique Boucher
Marc Feeley
Benot Dupont de Dinechin
Khalid Azim Mughal
Frank DeRemer
Richard Jllig
Ole Lehrmann Madsen
Reinhard Wilhelm
Shmuel Sagiv
Thomas W Reps
Iman Poernomo
Ralf Reussner
Heinz W Schmidt
Vania Marangozova
Daniel Hagimont
Ian Frank
David A Basin
Michael L Littman
Tristan Cazenave
Takuya Kojima
Atsushi Yoshikawa
Andreas Junghanns
Jonathan Schaeffer
Katsumi Inoue
Dale Miller
Joseph Gartner
Terrance Swift
Allen Tien
Carlos Viegas Damsio
Lus Moniz Pereira
James Harland
Tatjana Lutovac
Michael Winikoff
Rada Chirkova
Michael R Genesereth
Jan Broersen
Roel Wieringa
JohnJules Ch Meyer
Tomi Janhunen
Sbastien Ferr
Olivier Ridoux
HansPeter Strr
Michael Thielscher
Alexander Celle
Leopoldo E Bertossi
Rei Atarashi
Hiroyuki Ohno
Makoto Niimi
Kunihiro Chihara
Jane Greenberg
Maria Cristina Pattuelli
Bijan Parsia
W Davenport Robertson
Yong Soon Kim
Ji Won Lee
Hyeong Yong Park
Stuart A Sutton
Jon Mason
Simon Pockley
Emily Cavanagh
W Davenport Robertson
Ellen M Leadem
Jed Dube
Jane Greenberg
Yasuki Kaneko
Thomas G Habing
Timothy W Cole
William H Mischo
Fabio Fioravanti
Ann Tighe
Finlay Smith
Gerard Lyons
Hubie Chen
Carla P Gomes
Bart Selman
Stephan Pontow
Andrew J Parkes
Yves Colombani
Thierry Benoist
Eric Bourreau
Yves Caseau
Benot Rottembourg
Benjamin W Wah
Tao Wang
Youssef Hamadi
Toby Walsh
Rina Dechter
Kalev Kask
Javier Larrosa
MohamedSalah Affane
Hachemi Bennaceur
Renato Bruni
Antonio Sassano
Warwick Harvey
Peter J Stuckey
Alan Holland
Barry OSullivan
Antonio J Fernndez
Teresa HortalGonzlez
Fernando SenzPrez
Y C Law
Jimmy HoMan Lee
Timo Soininen
Esther Gelle
Ilkka Niemel
Marco Gavanelli
Claudio Bettini
Xiaoyang Sean Wang
Sushil Jajodia
Chiu Wo Choi
Martin Henz
Ka Boon Ng
Chiu Wo Choi
Jimmy Ho Man Lee
Peter J Stuckey
Peter Jeavons
Yves Caseau
Franois Laburthe
Glenn Silverstein
Jason H Y Wong
Kaifai Ng
